"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime","p_mod_78","state","p_n"
127,10,63,2,8,"1000","8","1111111",0.984375,1111111.984375,8.85936803709043E-07,8.85936803709043E-07,1.55576970220531E+026,1,751,0.965968586387434,2.87563993700417,1,3.9465995457403E-24,0,751,49,"success",751
128,11,0,10,1,"1","1","10000000",0.984496124031008,10000000.9844961,9.84496027107755E-08,9.84496027107755E-08,2.5172882568355E+026,1,757,0.966233766233766,2.87909587950007,0,2.91186358181109E-24,1,757,55,"success",757
129,12,1,5,9,"1001","9","10000001",0.984615384615385,10000001.9846154,9.84615189207139E-08,9.84615189207139E-08,4.07305795904081E+026,1,761,0.96640826873385,2.88138465677057,1,1.51728751767023E-24,0,761,59,"success",761
130,0,2,0,0,"0","0","10000010",0.984732824427481,10000010.9847328,9.84731742725971E-08,9.84731742725971E-08,6.5903462158763E+026,1,769,0.966751918158568,2.88592633980143,0,1.14713244985336E-24,1,769,67,"success",769
131,1,3,8,9,"1001","9","10000011",0.984848484848485,10000011.9848485,9.84847304523913E-08,9.84847304523913E-08,1.06634041749171E+027,1,773,0.966921119592875,2.88817949391832,1,5.73925540063061E-25,1,773,71,"success",773
132,2,4,3,1,"1","1","10000100",0.984962406015038,10000100.9849624,9.84952459476328E-08,9.84952459476328E-08,1.72537503907934E+027,1,787,0.9675,2.89597473235906,0,4.53814377897694E-25,0,787,7,"success",787
133,3,5,11,8,"1000","8","10000101",0.985074626865672,10000101.9850746,9.85064580677194E-08,9.85064580677194E-08,2.79171545657105E+027,1,797,0.967901234567901,2.90145832139611,1,2.26384103190896E-25,1,797,17,"success",797
134,4,6,6,2,"10","2","10000110",0.985185185185185,10000110.9851852,9.85174251210514E-08,9.85174251210514E-08,4.51709049565039E+027,1,809,0.968369829683698,2.90794852161227,0,1.77326533699358E-25,0,809,29,"success",809
135,5,7,1,4,"100","4","10000111",0.985294117647059,10000111.9852941,9.85283083925465E-08,9.85283083925465E-08,7.30880595222145E+027,1,811,0.968446601941748,2.90902085421116,1,9.002838552582E-26,1,811,31,"success",811
136,6,8,9,15,"1111","F","10001000",0.985401459854015,10001000.9854015,9.85302832478882E-08,9.85302832478882E-08,1.18258964478718E+028,1,821,0.968824940047962,2.91434315711944,0,6.73944680230501E-26,0,821,41,"success",821
137,7,9,4,3,"11","3","10001001",0.985507246376812,10001001.9855072,9.85408509872251E-08,9.85408509872251E-08,1.91347024000933E+028,1,823,0.968899521531101,2.91539983521227,1,3.480587186957E-26,1,823,43,"success",823
138,8,10,12,4,"100","4","10001010",0.985611510791367,10001010.9856115,9.85511876958609E-08,9.85511876958609E-08,3.09605988479651E+028,1,827,0.969047619047619,2.91750550955255,0,2.61945837670159E-26,0,827,47,"success",827
139,9,11,7,14,"1110","E","10001011",0.985714285714286,10001011.9857143,9.85614542930562E-08,9.85614542930562E-08,5.00953012480584E+028,1,829,0.969121140142518,2.91855453055027,1,1.30950405258901E-26,1,829,49,"success",829
140,10,12,2,8,"1000","8","10001100",0.985815602836879,10001100.9858156,9.8570707788577E-08,9.8570707788577E-08,8.10559000960235E+028,1,839,0.969483568075117,2.9237619608287,0,1.02275096447997E-26,0,839,59,"success",839
141,11,13,10,1,"1","1","10001101",0.985915492957746,10001101.9859155,9.85806858430408E-08,9.85806858430408E-08,1.31151201344082E+029,1,853,0.969976905311778,2.93094903116752,1,5.24585358692214E-27,1,853,73,"success",853
142,12,14,5,9,"1001","9","10001110",0.986013986013986,10001110.986014,9.859044534081E-08,9.859044534081E-08,2.12207101440105E+029,1,857,0.970114942528736,2.9329808219232,0,3.97253435101432E-27,0,857,77,"success",857
143,0,15,0,0,"0","0","10001111",0.986111111111111,10001111.9861111,9.86001469117192E-08,9.86001469117192E-08,3.43358302784187E+029,1,859,0.970183486238532,2.93399316383124,1,2.04742391344432E-27,1,859,1,"success",859
144,1,16,8,9,"1001","9","10010000",0.986206896551724,10010000.9862069,9.85221577810682E-08,9.85221577810682E-08,5.55565404224293E+029,1,863,0.970319634703196,2.93601079571521,0,1.5227730048836E-27,0,863,5,"success",863
145,2,17,3,1,"1","1","10010001",0.986301369863014,10010001.9863014,9.85315858291298E-08,9.85315858291298E-08,8.9892370700848E+029,1,877,0.970786516853933,2.94299959336604,1,7.95395643062348E-28,1,877,19,"success",877
146,3,18,11,8,"1000","8","10010010",0.986394557823129,10010010.9863946,9.85408067147799E-08,9.85408067147799E-08,1.45448911123277E+030,1,881,0.970917225950783,2.94497590841205,0,5.92647956827535E-28,0,881,23,"success",881
147,4,19,6,2,"10","2","10010011",0.986486486486487,10010011.9864865,9.85499805413063E-08,9.85499805413063E-08,2.35341281824125E+030,1,883,0.970982142857143,2.94596070357757,1,3.03814101146238E-28,1,883,25,"success",883
148,5,20,1,4,"100","4","10010100",0.986577181208054,10010100.9865772,9.85581646509842E-08,9.85581646509842E-08,3.80790192947403E+030,1,887,0.971111111111111,2.94792361983173,0,2.31623612250389E-28,0,887,29,"success",887
149,6,21,9,15,"1111","F","10010101",0.986666666666667,10010101.9866667,9.8567094319408E-08,9.8567094319408E-08,6.16131474771528E+030,1,907,0.971739130434783,2.95760728706009,1,1.17020478505397E-28,1,907,49,"success",907
150,7,22,4,3,"11","3","10010110",0.986754966887417,10010110.986755,9.85758268008274E-08,9.85758268008274E-08,9.96921667718931E+030,1,911,0.971861471861472,2.959518376973,0,9.06791405254993E-29,0,911,53,"success",911
151,8,23,12,4,"100","4","10010111",0.986842105263158,10010111.9868421,9.85845219873986E-08,9.85845219873986E-08,1.61305314249046E+031,1,919,0.972103004291845,2.96331551138611,1,4.58137416885738E-29,1,919,61,"success",919
152,9,24,7,14,"1110","E","10011000",0.986928104575163,10011000.9869281,9.85843579342214E-08,9.85843579342214E-08,2.60997481020939E+031,1,929,0.9723991507431,2.96801571399364,0,3.47896077942283E-29,0,929,71,"success",929
153,10,25,2,8,"1000","8","10011001",0.987012987012987,10011001.987013,9.85928270010748E-08,9.85928270010748E-08,4.22302795269985E+031,1,937,0.972631578947368,2.97173959088778,1,1.80202453908334E-29,1,937,1,"success",937
154,11,26,10,1,"1","1","10011010",0.987096774193548,10011010.9870968,9.860110786671E-08,9.860110786671E-08,6.83300276290924E+031,1,941,0.972746331236897,2.97358962342726,0,1.36104145171462E-29,0,941,5,"success",941
155,12,27,5,9,"1001","9","10011011",0.987179487179487,10011011.9871795,9.86093602169001E-08,9.86093602169001E-08,1.10560307156091E+032,1,947,0.972916666666667,2.97634997900327,1,6.91930060324417E-30,1,947,11,"success",947
156,0,28,0,0,"0","0","10011100",0.987261146496815,10011100.9872611,9.86166404427523E-08,9.86166404427523E-08,1.78890334785183E+032,1,953,0.973084886128364,2.97909290063833,0,5.32728613395682E-30,0,953,17,"success",953
157,1,29,8,9,"1001","9","10011101",0.987341772151899,10011101.9873418,9.86246842156151E-08,9.86246842156151E-08,2.89450641941274E+032,1,967,0.973469387755102,2.985426474083,1,2.69475995896479E-30,1,967,31,"success",967
158,2,30,3,1,"1","1","10011110",0.987421383647799,10011110.9874214,9.86325478649133E-08,9.86325478649133E-08,4.68340976726457E+032,1,971,0.973577235772358,2.987219229908,0,2.06473498594763E-30,0,971,35,"success",971
159,3,31,11,8,"1000","8","10011111",0.9875,10011111.9875,9.86403909209092E-08,9.86403909209092E-08,7.57791618667731E+032,1,977,0.973737373737374,2.98989456371877,1,1.03722445674691E-30,1,977,41,"success",977
160,4,32,6,2,"10","2","10100000",0.987577639751553,10100000.9875776,9.77799547709164E-08,9.77799547709164E-08,1.22613259539419E+033,1,983,0.973895582329317,2.99255351783214,0,7.95183166700293E-31,0,983,47,"success",983
161,5,33,1,4,"100","4","10100001",0.987654320987654,10100001.9876543,9.77875372890924E-08,9.77875372890924E-08,1.98392421406192E+033,1,991,0.97410358565737,2.99607365448528,1,4.0928982782941E-31,1,991,55,"success",991
162,6,34,9,15,"1111","F","10100010",0.987730061349693,10100010.9877301,9.77949491886327E-08,9.77949491886327E-08,3.21005680945611E+033,1,997,0.974257425742574,2.99869515831166,0,3.03109900464615E-31,0,997,61,"success",997
163,7,35,4,3,"11","3","10100011",0.98780487804878,10100011.9878049,9.78023470904284E-08,9.78023470904284E-08,5.19398102351803E+033,1,1009,0.974559686888454,3.00389116623691,1,1.59030230618849E-31,1,1009,73,"success",1009
164,8,36,12,4,"100","4","10100100",0.987878787878788,10100100.9878788,9.780880300745E-08,9.780880300745E-08,8.40403783297414E+033,1,1013,0.974658869395711,3.00560944536028,0,1.18633449755326E-31,0,1013,77,"success",1013
165,9,37,7,14,"1110","E","10100101",0.987951807228916,10100101.9879518,9.78160228884245E-08,9.78160228884245E-08,1.35980188564922E+034,1,1019,0.974806201550387,3.00817418400643,1,6.03029021105162E-32,1,1019,5,"success",1019
166,10,38,2,8,"1000","8","10100110",0.988023952095808,10100110.988024,9.78230787035254E-08,9.78230787035254E-08,2.20020566894663E+034,1,1021,0.974854932301741,3.00902574208691,0,4.59502497547889E-32,0,1021,7,"success",1021
167,11,39,10,1,"1","1","10100111",0.988095238095238,10100111.9880952,9.78301269589765E-08,9.78301269589765E-08,3.56000755459585E+034,1,1031,0.975095785440613,3.01325866528352,1,2.35954555465926E-32,1,1031,17,"success",1031
168,12,40,5,9,"1001","9","10101000",0.988165680473373,10101000.9881657,9.78284906249496E-08,9.78284906249496E-08,5.76021322354248E+034,1,1033,0.975143403441682,3.01410032151962,0,1.76903173624765E-32,0,1033,19,"success",1033
169,0,41,0,0,"0","0","10101001",0.988235294117647,10101001.9882353,9.78353726955654E-08,9.78353726955654E-08,9.32022077813832E+034,1,1039,0.975285171102662,3.01661554755718,1,9.19506115145034E-33,1,1039,25,"success",1039
170,1,42,8,9,"1001","9","10101010",0.988304093567252,10101010.9883041,9.78420966685022E-08,9.78420966685022E-08,1.50804340016808E+035,1,1049,0.975517890772128,3.02077548819356,0,6.84330437628637E-33,0,1049,35,"success",1049
171,2,43,3,1,"1","1","10101011",0.988372093023256,10101011.9883721,9.78488189263643E-08,9.78488189263643E-08,2.44006547798191E+035,1,1051,0.975563909774436,3.02160271602824,1,3.53679033528951E-33,1,1051,37,"success",1051
172,3,44,11,8,"1000","8","10101100",0.988439306358382,10101100.9884393,9.78546108478322E-08,9.78546108478322E-08,3.94810887814999E+035,1,1061,0.975791433891992,3.02571538390134,0,2.63923825851596E-33,0,1061,47,"success",1061
173,4,45,6,2,"10","2","10101101",0.988505747126437,10101101.9885057,9.78611787358724E-08,9.78611787358724E-08,6.38817435613191E+035,1,1063,0.975836431226766,3.0265332645233,1,1.36032605178639E-33,1,1063,49,"success",1063
174,5,46,1,4,"100","4","10101110",0.988571428571428,10101110.9885714,9.78675939399058E-08,9.78675939399058E-08,1.03362832342819E+036,1,1069,0.975970425138632,3.02897770520878,0,1.02938355681961E-33,0,1069,55,"success",1069
175,6,47,9,15,"1111","F","10101111",0.988636363636364,10101111.9886364,9.78740127570676E-08,9.78740127570676E-08,1.67244575904138E+036,1,1087,0.976363636363636,3.03622954408629,1,5.23185876295047E-34,1,1087,73,"success",1087
176,7,48,4,3,"11","3","10110000",0.988700564971751,10110000.9887006,9.77943094245759E-08,9.77943094245759E-08,2.70607408246957E+036,1,1091,0.976449275362319,3.03782475058834,0,4.00580311907329E-34,0,1091,77,"success",1091
177,8,49,12,4,"100","4","10110001",0.98876404494382,10110001.988764,9.7800578678689E-08,9.7800578678689E-08,4.37851984151095E+036,1,1093,0.976491862567812,3.0386201619497,1,2.02579874502501E-34,1,1093,1,"success",1093
178,9,50,7,14,"1110","E","10110010",0.988826815642458,10110010.9888268,9.78067003819551E-08,9.78067003819551E-08,7.08459392398052E+036,1,1097,0.976576576576577,3.04020662757471,0,1.51878853120694E-34,0,1097,5,"success",1097
179,10,51,2,8,"1000","8","10110011",0.988888888888889,10110011.9888889,9.78128304868182E-08,9.78128304868182E-08,1.14631137654915E+037,1,1103,0.976702508960573,3.04257551244019,1,7.85999352734654E-35,1,1103,11,"success",1103
180,11,52,10,1,"1","1","10110100",0.988950276243094,10110100.9889503,9.78180413157056E-08,9.78180413157056E-08,1.8547707689472E+037,1,1109,0.976827094474153,3.04493154614916,0,5.91986901229441E-35,0,1109,17,"success",1109
181,12,53,5,9,"1001","9","10110101",0.989010989010989,10110101.989011,9.78240367986375E-08,9.78240367986375E-08,3.00108214549635E+037,1,1117,0.976991150442478,3.04805317311561,1,3.02890742715628E-35,1,1117,25,"success",1117
182,0,54,0,0,"0","0","10110110",0.989071038251366,10110110.989071,9.78298892386587E-08,9.78298892386587E-08,4.85585291444354E+037,1,1123,0.977112676056338,3.05037975626146,0,2.31267301499121E-35,0,1123,31,"success",1123
183,1,55,8,9,"1001","9","10110111",0.989130434782609,10110111.9891304,9.78357545243852E-08,9.78357545243852E-08,7.85693505993989E+037,1,1129,0.97723292469352,3.05269394192497,1,1.16584901493001E-35,1,1129,37,"success",1129
184,2,56,3,1,"1","1","10111000",0.989189189189189,10111000.9891892,9.78329633482227E-08,9.78329633482227E-08,1.27127879743834E+038,1,1151,0.97766323024055,3.06107532362979,0,9.02241115254366E-36,0,1151,59,"success",1151
185,3,57,11,8,"1000","8","10111001",0.989247311827957,10111001.9892473,9.78387021266524E-08,9.78387021266524E-08,2.05697230343233E+038,1,1153,0.97770154373928,3.0618293072947,1,4.55037726292259E-36,1,1153,61,"success",1153
186,4,58,6,2,"10","2","10111010",0.989304812834225,10111010.9893048,9.78443020070582E-08,9.78443020070582E-08,3.32825110087068E+038,1,1163,0.977891156462585,3.06557971472845,0,3.47029104774532E-36,0,1163,71,"success",1163
187,5,59,1,4,"100","4","10111011",0.98936170212766,10111011.9893617,9.7849918798298E-08,9.7849918798298E-08,5.38522340430301E+038,1,1171,0.978040540540541,3.06855689507236,1,1.79379744808382E-36,1,1171,1,"success",1171
188,6,60,9,15,"1111","F","10111100",0.989417989417989,10111100.989418,9.78546243829913E-08,9.78546243829913E-08,8.71347450517368E+038,1,1181,0.97822445561139,3.07224989761351,0,1.32782852501952E-36,0,1181,11,"success",1181
189,7,61,4,3,"11","3","10111101",0.989473684210526,10111101.9894737,9.78601229856679E-08,9.78601229856679E-08,1.40986979094767E+039,1,1187,0.978333333333333,3.07445071895459,1,6.93681080536253E-37,1,1187,17,"success",1187
190,8,62,12,4,"100","4","10111110",0.989528795811518,10111110.9895288,9.7865486476836E-08,9.7865486476836E-08,2.28121724146504E+039,1,1193,0.978441127694859,3.07664044367034,0,5.15952614510361E-37,0,1193,23,"success",1193
191,9,63,7,14,"1110","E","10111111",0.989583333333333,10111111.9895833,9.7870870617675E-08,9.7870870617675E-08,3.69108703241271E+039,1,1201,0.978583196046129,3.07954300740291,1,2.64420749613707E-37,1,1201,31,"success",1201
192,10,0,2,8,"1000","8","11000000",0.989637305699482,11000000.9896373,8.99670196967966E-08,8.99670196967966E-08,5.97230427387775E+039,1,1213,0.978792822185971,3.08386080086657,0,2.01429790719438E-37,0,1213,43,"success",1213
193,11,1,10,1,"1","1","11000001",0.989690721649485,11000001.9896907,8.99718675121177E-08,8.99718675121177E-08,9.66339130629045E+039,1,1217,0.978861788617886,3.08529057823006,1,1.03483339161588E-37,1,1217,47,"success",1217
194,12,2,5,9,"1001","9","11000010",0.98974358974359,11000010.9897436,8.99766000839842E-08,8.99766000839842E-08,1.56356955801682E+040,1,1223,0.978964401294498,3.08742645703628,0,7.73230710332744E-38,0,1223,53,"success",1223
195,0,3,0,0,"0","0","11000011",0.989795918367347,11000011.9897959,8.99813490463032E-08,8.99813490463032E-08,2.52990868864586E+040,1,1229,0.979066022544283,3.08955188288645,1,4.0357187774492E-38,1,1229,59,"success",1229
196,1,4,8,9,"1001","9","11000100",0.989847715736041,11000100.9898477,8.99853298301168E-08,8.99853298301168E-08,4.09347824666268E+040,1,1231,0.979099678456592,3.09025805293132,0,2.96569305330924E-38,0,1231,61,"success",1231
197,2,5,3,1,"1","1","11000101",0.98989898989899,11000101.989899,8.99899828936113E-08,8.99899828936113E-08,6.62338693530855E+040,1,1237,0.9792,3.09236969962912,1,1.54452700709134E-38,1,1237,67,"success",1237
198,3,6,11,8,"1000","8","11000110",0.989949748743718,11000110.9899497,8.99945236596418E-08,8.99945236596418E-08,1.07168651819712E+041,1,1249,0.979397781299525,3.09656243837414,0,1.14772368515861E-38,0,1249,1,"success",1249
199,4,7,6,2,"10","2","11000111",0.99,11000111.99,8.99990837275103E-08,8.99990837275103E-08,1.73402521172798E+041,1,1259,0.979559748427673,3.10002573010786,1,5.99183906308158E-39,1,1259,11,"success",1259
200,5,8,1,4,"100","4","11001000",0.990049751243781,11001000.9900498,8.99963332554253E-08,8.99963332554253E-08,2.8057117299251E+041,1,1277,0.97984496124031,3.10619089726341,0,4.53360901775164E-39,0,1277,29,"success",1277
201,6,9,9,15,"1111","F","11001001",0.99009900990099,11001001.990099,9.00008027261596E-08,9.00008027261596E-08,4.53973694165308E+041,1,1279,0.979876160990712,3.10687054447865,1,2.29308440858896E-39,1,1279,31,"success",1279
202,7,10,4,3,"11","3","11001010",0.990147783251232,11001010.9901478,9.00051626289604E-08,9.00051626289604E-08,7.34544867157818E+041,1,1283,0.979938271604938,3.10822665637493,0,1.73713010198715E-39,0,1283,35,"success",1283
203,8,11,12,4,"100","4","11001011",0.990196078431373,11001011.9901961,9.00095445140701E-08,9.00095445140701E-08,1.18851856132313E+042,1,1289,0.980030721966206,3.1102529173534,1,8.89342442261304E-40,1,1289,41,"success",1289
204,9,12,7,14,"1110","E","11001100",0.990243902439024,11001100.9902439,9.00131635294687E-08,9.00131635294687E-08,1.92306342848094E+042,1,1291,0.980061349693252,3.11092624226642,0,6.60404634184735E-40,0,1291,43,"success",1291
205,10,13,2,8,"1000","8","11001101",0.990291262135922,11001101.9902913,9.00174603425982E-08,9.00174603425982E-08,3.11158198980407E+042,1,1297,0.980152671755725,3.11293997608408,1,3.43555144457984E-40,1,1297,49,"success",1297
206,11,14,10,1,"1","1","11001110",0.990338164251208,11001110.9903382,9.00216500970658E-08,9.00216500970658E-08,5.03464541828501E+042,1,1301,0.980213089802131,3.11427729656159,0,2.56224598323236E-40,0,1301,53,"success",1301
207,12,15,5,9,"1001","9","11001111",0.990384615384615,11001111.9903846,9.00258643171935E-08,9.00258643171935E-08,8.14622740808908E+042,1,1303,0.980243161094225,3.11494441571258,1,1.3122638817307E-40,1,1303,55,"success",1303
208,0,16,0,0,"0","0","11010000",0.990430622009569,11010000.9904306,8.99573599376063E-08,8.99573599376063E-08,1.31808728263741E+043,1,1307,0.98030303030303,3.11627558758054,0,9.91588354744441E-41,0,1307,59,"success",1307
209,1,17,8,9,"1001","9","11010001",0.990476190476191,11010001.9904762,8.99614905912793E-08,8.99614905912793E-08,2.13271002344632E+043,1,1319,0.980480480480481,3.12024479554636,1,5.06397957587685E-41,1,1319,71,"success",1319
210,2,18,3,1,"1","1","11010010",0.990521327014218,11010010.9905213,8.9965516643623E-08,8.9965516643623E-08,3.45079730608373E+043,1,1321,0.980509745127436,3.12090281761453,0,3.81650929678814E-41,0,1321,73,"success",1321
211,3,19,11,8,"1000","8","11010011",0.990566037735849,11010011.990566,8.99695693869015E-08,8.99695693869015E-08,5.58350732953005E+043,1,1327,0.980597014925373,3.12287092286443,1,1.94143203550024E-41,1,1327,1,"success",1327
212,4,20,6,2,"10","2","11010100",0.990610328638498,11010100.9906103,8.99728648704779E-08,8.99728648704779E-08,9.03430463561378E+043,1,1361,0.981077147016012,3.13385812520333,0,1.49762494687902E-41,0,1361,35,"success",1361
213,5,21,1,4,"100","4","11010101",0.990654205607477,11010101.9906542,8.99768418538159E-08,8.99768418538159E-08,1.46178119651438E+044,1,1367,0.981159420289855,3.13576851456782,1,7.77134090046303E-42,1,1367,41,"success",1367
214,6,22,9,15,"1111","F","11010110",0.990697674418605,11010110.9906977,8.99807163847517E-08,8.99807163847517E-08,2.36521166007576E+044,1,1373,0.981240981240981,3.13767053723675,0,5.70350646739493E-42,0,1373,47,"success",1373
215,7,23,4,3,"11","3","11010111",0.990740740740741,11010111.9907407,8.99846197362871E-08,8.99846197362871E-08,3.82699285659014E+044,1,1381,0.981348637015782,3.14019367857863,1,2.99451826262641E-42,1,1381,55,"success",1381
216,8,24,12,4,"100","4","11011000",0.990783410138249,11011000.9907834,8.99812297689891E-08,8.99812297689891E-08,6.1922045166659E+044,1,1399,0.981586402266289,3.14581771449183,0,2.23345336265582E-42,0,1399,73,"success",1399
217,9,25,7,14,"1110","E","11011001",0.990825688073394,11011001.9908257,8.99850612050516E-08,8.99850612050516E-08,1.0019197373256E+045,1,1409,0.981715893108298,3.14891099310936,1,1.15578120368306E-42,1,1409,5,"success",1409
218,10,26,2,8,"1000","8","11011010",0.990867579908676,11011010.9908676,8.99887921945125E-08,8.99887921945125E-08,1.62114018899219E+045,1,1423,0.981894150417827,3.15320490008428,0,8.71608766221762E-43,0,1423,19,"success",1423
219,11,27,10,1,"1","1","11011011",0.990909090909091,11011011.9909091,8.99925539748032E-08,8.99925539748032E-08,2.6230599263178E+045,1,1427,0.981944444444444,3.15442397311465,1,4.51381223936457E-43,1,1427,23,"success",1427
220,12,28,5,9,"1001","9","11011100",0.990950226244344,11011100.9909502,8.99955623927874E-08,8.99955623927874E-08,4.24420011530999E+045,1,1429,0.981969486823856,3.15503222879097,0,3.33396155119008E-43,0,1429,25,"success",1429
221,0,29,0,0,"0","0","11011101",0.990990990990991,11011101.990991,8.99992563688716E-08,8.99992563688716E-08,6.86726004162779E+045,1,1433,0.982019363762102,3.15624619039734,1,1.74596562927853E-43,1,1433,29,"success",1433
222,1,30,8,9,"1001","9","11011110",0.991031390134529,11011110.9910314,9.0002851750539E-08,9.0002851750539E-08,1.11114601569378E+046,1,1439,0.982093663911846,3.1580607939366,0,1.27975979746652E-43,0,1439,35,"success",1439
223,2,31,3,1,"1","1","11011111",0.991071428571429,11011111.9910714,9.00064797610866E-08,9.00064797610866E-08,1.79787201985656E+046,1,1447,0.982191780821918,3.16046853111904,1,6.71349232130716E-44,1,1447,43,"success",1447
224,3,32,11,8,"1000","8","11100000",0.991111111111111,11100000.9911111,8.92892813167128E-08,8.92892813167128E-08,2.90901803555034E+046,1,1451,0.98224043715847,3.16166741243774,0,4.92262331309022E-44,0,1451,47,"success",1451
225,4,33,6,2,"10","2","11100001",0.991150442477876,11100001.9911504,8.92928166380581E-08,8.92928166380581E-08,4.70689005540689E+046,1,1453,0.982264665757162,3.16226561429802,1,2.56432588352791E-44,1,1453,49,"success",1453
226,5,34,1,4,"100","4","11100010",0.991189427312775,11100010.9911894,8.92962563820456E-08,8.92962563820456E-08,7.61590809095723E+046,1,1459,0.982336956521739,3.16405529189345,0,1.90916169501364E-44,0,1459,55,"success",1459
227,6,35,9,15,"1111","F","11100011",0.991228070175439,11100011.9912281,8.92997296722535E-08,8.92997296722535E-08,1.23227981463641E+047,1,1471,0.982479784366577,3.16761267272753,1,9.79485329276556E-45,1,1471,67,"success",1471
228,7,36,4,3,"11","3","11100100",0.991266375545851,11100100.9912664,8.93024645744922E-08,8.93024645744922E-08,1.99387062373214E+047,1,1481,0.982597054886212,3.17055505852121,0,7.39265618569053E-45,0,1481,77,"success",1481
229,8,37,12,4,"100","4","11100101",0.991304347826087,11100101.9913043,8.93058774237083E-08,8.93058774237083E-08,3.22615043836855E+047,1,1483,0.982620320855615,3.17114115102838,1,3.79709509336917E-45,1,1483,1,"success",1483
230,9,38,7,14,"1110","E","11100110",0.991341991341991,11100110.991342,8.93091962877877E-08,8.93091962877877E-08,5.22002106210068E+047,1,1487,0.982666666666667,3.17231096852195,0,2.80841778713061E-45,0,1487,5,"success",1487
231,10,39,2,8,"1000","8","11100111",0.991379310344828,11100111.9913793,8.9312550280102E-08,8.9312550280102E-08,8.44617150046923E+047,1,1489,0.982689747003995,3.17289469775218,1,1.46220095096505E-45,1,1489,7,"success",1489
232,11,40,10,1,"1","1","11101000",0.991416309012875,11101000.9914163,8.93087307873834E-08,8.93087307873834E-08,1.36661925625699E+048,1,1493,0.98273572377158,3.17405980772503,0,1.08442786329458E-45,0,1493,11,"success",1493
233,12,41,5,9,"1001","9","11101001",0.991452991452992,11101001.991453,8.93120271680288E-08,8.93120271680288E-08,2.21123640630391E+048,1,1499,0.982804232804233,3.17580163284828,1,5.6032000760651E-46,1,1499,17,"success",1499
234,0,42,0,0,"0","0","11101010",0.991489361702128,11101010.9914894,8.93152310597888E-08,8.93152310597888E-08,3.57785566256091E+048,1,1511,0.982939632545932,3.17926446433903,0,4.22319999046155E-46,0,1511,29,"success",1511
235,1,43,8,9,"1001","9","11101011",0.991525423728814,11101011.9915254,8.93184715488777E-08,8.93184715488777E-08,5.78909206886482E+048,1,1523,0.983072916666667,3.18269990333604,1,2.17305232847451E-46,1,1523,41,"success",1523
236,2,44,3,1,"1","1","11101100",0.991561181434599,11101100.9915612,8.93209765579435E-08,8.93209765579435E-08,9.36694773142572E+048,1,1531,0.983160621761658,3.18497519069826,0,1.63020019304365E-46,0,1531,49,"success",1531
237,3,45,11,8,"1000","8","11101101",0.991596638655462,11101101.9915966,8.93241625386458E-08,8.93241625386458E-08,1.51560398002905E+049,1,1543,0.983290488431877,3.18836592606315,1,8.40588977587389E-47,1,1543,61,"success",1543
238,4,46,6,2,"10","2","11101110",0.99163179916318,11101110.9916318,8.93272574169098E-08,8.93272574169098E-08,2.45229875317163E+049,1,1549,0.983354673495519,3.19005141775921,0,6.28389994492711E-47,0,1549,67,"success",1549
239,5,47,1,4,"100","4","11101111",0.991666666666667,11101111.9916667,8.93303902718112E-08,8.93303902718112E-08,3.96790273320068E+049,1,1553,0.983397190293742,3.19117145572856,1,3.26620909619574E-47,1,1553,71,"success",1553
240,6,48,9,15,"1111","F","11110000",0.991701244813278,11110000.9917012,8.92620302693079E-08,8.92620302693079E-08,6.42020148637231E+049,1,1559,0.983460559796438,3.19284611518884,0,2.39089069596684E-47,0,1559,77,"success",1559
241,7,49,4,3,"11","3","11110001",0.991735537190083,11110001.9917355,8.92651088566691E-08,8.92651088566691E-08,1.0388104219573E+050,1,1567,0.983544303797468,3.19506899646859,1,1.25720725591034E-47,1,1567,7,"success",1567
242,8,50,12,4,"100","4","11110010",0.991769547325103,11110010.9917695,8.9268097759743E-08,8.9268097759743E-08,1.68083057059453E+050,1,1571,0.983585858585859,3.19617618503997,0,9.25137861723908E-48,0,1571,11,"success",1571
243,9,51,7,14,"1110","E","11110011",0.991803278688525,11110011.9918033,8.92711258475918E-08,8.92711258475918E-08,2.71964099255183E+050,1,1579,0.983668341708543,3.19838213000829,1,4.78739658493799E-48,1,1579,19,"success",1579
244,10,52,2,8,"1000","8","11110100",0.991836734693877,11110100.9918367,8.92734220348348E-08,8.92734220348348E-08,4.40047156314636E+050,1,1583,0.983709273182957,3.19948091486236,0,3.57461689600216E-48,0,1583,23,"success",1583
245,11,53,10,1,"1","1","11110101",0.991869918699187,11110101.9918699,8.92764008309745E-08,8.92764008309745E-08,7.12011255569819E+050,1,1597,0.983850931677019,3.20330491613848,1,1.86513905449038E-48,1,1597,37,"success",1597
246,12,54,5,9,"1001","9","11110110",0.991902834008097,11110110.9919028,8.92792911547874E-08,8.92792911547874E-08,1.15205841188445E+051,1,1601,0.983890954151177,3.2043913319193,0,1.37753431911851E-48,0,1601,41,"success",1601
247,0,55,0,0,"0","0","11110111",0.991935483870968,11110111.9919355,8.92822218705793E-08,8.92822218705793E-08,1.86406966745427E+051,1,1607,0.983950617283951,3.20601587676334,1,7.226124771611E-49,1,1607,47,"success",1607
